Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,Month,Series,Value
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,June,SalesPrice,38515748.635
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,June,Basis,42595480.39
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,June,Loss,4205769.47
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,July,NumberOfTransactions,5715.98374
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,July,SalesPrice,82209814.527
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,July,Basis,76762105.74
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,July,Gain,5781025.1964
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,July,NumberOfTransactions,3272.86303
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,July,SalesPrice,37703083.115
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,July,Basis,41122619.461
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,July,Loss,3630499.49
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,August,NumberOfTransactions,5169.53941
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,August,SalesPrice,74100134.348
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,August,Basis,69434775.06
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,August,Gain,4977329.5351
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,August,NumberOfTransactions,5470.61027
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,August,SalesPrice,47157758.297
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,August,Basis,52836388.749
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,August,Loss,5861165.513
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,September,NumberOfTransactions,4901.16521
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,September,SalesPrice,79486722.188
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,September,Basis,75784724.889
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,September,Gain,4119263.0439
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,September,NumberOfTransactions,3311.22599
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,September,SalesPrice,38033026.995
