Data,TableID,Year,TransactionType,AssetType,Series,Value
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,USGovernmentObligations,Number,1251.02613
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,USGovernmentObligations,SalesPrice,68699515.047
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,USGovernmentObligations,Basis,68759600.432
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,StateAndLocalGovernmentObligations,Number,2984.77355
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,StateAndLocalGovernmentObligations,SalesPrice,240489689.5583
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,StateAndLocalGovernmentObligations,Basis,239713731.4528
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,StateAndLocalGovernmentObligations,NetGainloss,784131.78572
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,StateAndLocalGovernmentObligations,Number,758.58323
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,StateAndLocalGovernmentObligations,SalesPrice,38988067.4403
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,StateAndLocalGovernmentObligations,Basis,36592956.7008
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,StateAndLocalGovernmentObligations,Gain,2230513.37242
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,StateAndLocalGovernmentObligations,Number,973.76564
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,StateAndLocalGovernmentObligations,SalesPrice,65547224.42999999
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,StateAndLocalGovernmentObligations,Basis,67081164.900000006
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,StateAndLocalGovernmentObligations,Loss,1446381.587
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,StateAndLocalGovernmentObligations,Number,1252.42468
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,StateAndLocalGovernmentObligations,SalesPrice,135954397.685
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,StateAndLocalGovernmentObligations,Basis,136039609.849
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,OtherBondsNotesAndDebentures,Number,1791.51455
