Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,AGI,Series,Value
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"200,000 under 500,000",NumberOfReturns,927972.57
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"200,000 under 500,000",NumberOfTransactions,11832496.6
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"200,000 under 500,000",Loss,15145934.54
SOIIndividual,Table2A,2007,ShortTerm,AllTransactions,AllAsset,"500,000 under 1,000,000",NumberOfReturns,399571.15
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"500,000 under 1,000,000",NumberOfReturns,340980.24
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"500,000 under 1,000,000",NumberOfTransactions,7023763.4
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"500,000 under 1,000,000",Gain,11153412.449
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"500,000 under 1,000,000",NumberOfReturns,282140.53
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"500,000 under 1,000,000",NumberOfTransactions,5352143.89
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"500,000 under 1,000,000",Loss,8562651.403
SOIIndividual,Table2A,2007,ShortTerm,AllTransactions,AllAsset,"1,000,000 or more",NumberOfReturns,295624.84
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"1,000,000 or more",NumberOfReturns,261307.18
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"1,000,000 or more",NumberOfTransactions,10530041.44
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"1,000,000 or more",Gain,71985215.307
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"1,000,000 or more",NumberOfReturns,227985.61
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"1,000,000 or more",NumberOfTransactions,10016496.61
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"1,000,000 or more",Loss,32860336.74
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,AllReturns,NumberOfReturns,24858009.91
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,AllReturns,NumberOfReturns,23255066.88
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,AllReturns,NumberOfTransactions,104943933.12
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,AllReturns,Gain,970360118.31
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,AllReturns,NumberOfReturns,8125440.4
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,AllReturns,NumberOfTransactions,31254139.53
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,AllReturns,Loss,97405511.48
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,AdjustedGrossDeficit,NumberOfReturns,528194.26
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,AdjustedGrossDeficit,NumberOfReturns,436872.93
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,AdjustedGrossDeficit,NumberOfTransactions,1690231.34
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,AdjustedGrossDeficit,Gain,18972683.871
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,AdjustedGrossDeficit,NumberOfReturns,252462.55
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,AdjustedGrossDeficit,NumberOfTransactions,758844.81
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,AdjustedGrossDeficit,Loss,8561059.163
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,"Under 20,000",NumberOfReturns,3726744.72
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"Under 20,000",NumberOfReturns,3456014.97
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"Under 20,000",NumberOfTransactions,7693536.45
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"Under 20,000",Gain,11575287.212
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"Under 20,000",NumberOfReturns,937919.35
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"Under 20,000",NumberOfTransactions,2003528.35
