Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,TimeHeld,Series,Value
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,5 months under 6 months,NumberOfTransactions,3812.79174
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,5 months under 6 months,SalesPrice,33570930.23
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,5 months under 6 months,Basis,30644279.9
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,5 months under 6 months,Gain,3097349.022
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,5 months under 6 months,NumberOfTransactions,2642.49757
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,5 months under 6 months,SalesPrice,18175480.38
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,5 months under 6 months,Basis,21775083.03
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,5 months under 6 months,Loss,3568028.33
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,6 months under 7 months,NumberOfTransactions,4100.7081
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,6 months under 7 months,SalesPrice,49219210.68
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,6 months under 7 months,Basis,46235438.9
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,6 months under 7 months,Gain,3114283.829
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,6 months under 7 months,NumberOfTransactions,2499.47401
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,6 months under 7 months,SalesPrice,29949552.84
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,6 months under 7 months,Basis,32884090.63
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,6 months under 7 months,Loss,2889328.837
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,7 months under 8 months,NumberOfTransactions,3584.06033
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,7 months under 8 months,SalesPrice,29540336.25
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,7 months under 8 months,Basis,26574320.43
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,7 months under 8 months,Gain,2932728.946
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,7 months under 8 months,NumberOfTransactions,1963.40702
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,7 months under 8 months,SalesPrice,19936843.13
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,7 months under 8 months,Basis,22568331.66
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,7 months under 8 months,Loss,2620049.946
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,8 months under 9 months,NumberOfTransactions,3168.38591
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,8 months under 9 months,SalesPrice,21999737.47
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,8 months under 9 months,Basis,19613824.35
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,8 months under 9 months,Gain,2405900.002
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,8 months under 9 months,NumberOfTransactions,1830.5436
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,8 months under 9 months,SalesPrice,14075596.93
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,8 months under 9 months,Basis,16313202.2
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,8 months under 9 months,Loss,2229801.495
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,9 months under 10 months,NumberOfTransactions,3125.39058
